Job #,Doc #,Borough,Initial Cost,Total Est. Fee,Existing Zoning Sqft,Proposed Zoning Sqft,Enlargement SQ Footage,Street Frontage,ExistingNo. of Stories,Proposed No. of Stories,Existing Height,Proposed Height
121577873,2,MANHATTAN,"$75,000.00",$986.00,0,0,0,0,0,0,0,0
520129502,1,STATEN ISLAND,$0.00,"$1,144.00",0,0,0,143,0,0,0,0
121601560,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,5,5,54,54
121601203,1,MANHATTAN,"$1,500.00",$225.00,0,0,0,0,12,12,120,120
121601338,1,MANHATTAN,"$19,500.00",$389.50,0,0,0,0,6,6,64,64
121589753,1,MANHATTAN,"$3,062,400.00","$31,762.40",0,0,0,0,102,102,1250,1250
320738001,1,BROOKLYN,"$10,000.00",$316.50,0,0,0,0,,3,36,36
121601374,1,MANHATTAN,"$146,800.00","$1,727.60",0,0,0,0,27,27,300,300
121583054,1,MANHATTAN,$0.00,$160.00,0,0,0,0,34,34,398,398
121601392,1,MANHATTAN,"$5,000.00",$265.00,0,0,0,0,1,1,16,16
121601169,1,MANHATTAN,"$21,200.00",$440.10,0,0,0,0,6,6,60,60
420828206,1,QUEENS,"$20,000.00",$419.50,0,0,0,0,3,3,28,28
420828493,1,QUEENS,"$37,600.00",$764.90,0,0,0,0,1,1,15,15
440075142,1,QUEENS,"$10,000.00",$316.50,0,0,0,0,1,1,12,12
420836723,1,QUEENS,"$3,000.00",$280.00,14683,4791,0,0,1,1,15,15
121584525,1,MANHATTAN,$0.00,$472.00,0,0,0,30,4,0,45,0
121600311,1,MANHATTAN,"$94,000.00","$1,181.70",0,0,0,0,6,6,75,75
320744290,1,BROOKLYN,"$5,000.00",$265.00,0,0,0,0,4,4,52,52
320744557,1,BROOKLYN,"$7,500.00",$295.90,0,0,0,0,1,1,24,24
320744370,1,BROOKLYN,"$20,000.00",$207.25,0,0,0,0,2,2,25,25
220286232,1,BRONX,"$1,000.00",$225.00,0,0,0,0,11,11,101,101
121599779,1,MANHATTAN,$0.00,$160.00,0,0,0,0,40,40,520,520
420837401,1,QUEENS,"$67,000.00","$1,063.60",0,0,0,0,2,2,26,26
220286287,1,BRONX,"$70,000.00",$934.50,0,0,0,0,3,3,60,60
240024362,1,BRONX,$0.00,$440.00,0,0,0,0,18,18,180,180
320744316,1,BROOKLYN,"$11,000.00",$326.80,0,0,0,0,3,3,33,33
121601249,3,MANHATTAN,"$16,000.00",$378.30,0,0,0,0,0,0,0,0
121592605,1,MANHATTAN,"$41,000.00",$635.80,0,0,0,0,43,43,546,546
121577873,1,MANHATTAN,"$509,500.00","$5,466.50",0,0,0,0,20,20,200,200
520129496,1,STATEN ISLAND,"$12,238.00",$347.40,0,0,0,0,1,1,15,15
121562996,1,MANHATTAN,"$3,500.00",$245.00,0,0,0,0,33,33,360,360
320744307,1,BROOKLYN,"$5,000.00",$265.00,0,0,0,0,4,4,45,45
420805597,2,QUEENS,$0.00,$157.00,0,0,0,0,0,0,0,0
121601249,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,39,39,432,432
121592632,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,41,41,432,432
220286205,1,BRONX,"$344,584.00","$3,767.00",0,0,0,0,6,6,59,59
121481770,1,MANHATTAN,"$9,000.00",$306.20,0,0,0,0,12,12,150,150
121601533,1,MANHATTAN,"$130,000.00","$1,552.50",0,0,0,0,15,15,180,180
220286330,1,BRONX,"$15,000.00",$368.00,0,0,0,0,2,2,30,30
140073453,1,MANHATTAN,$0.00,$180.00,0,0,0,0,6,6,60,60
220283057,1,BRONX,"$120,000.00","$1,664.50",3375,3375,0,0,3,3,35,35
520129389,1,STATEN ISLAND,$0.00,$539.44,0,1921,0,0,0,3,0,25
402890403,4,QUEENS,"$19,320.00",$419.50,0,0,0,0,0,0,0,0
520129398,1,STATEN ISLAND,$0.00,$576.04,0,2094,0,0,0,3,0,25
121600339,1,MANHATTAN,"$30,000.00",$522.50,0,0,0,0,6,6,75,75
121600320,1,MANHATTAN,"$25,000.00",$471.00,0,0,0,0,6,6,75,75
240024344,1,BRONX,$0.00,$240.00,0,0,0,0,13,13,130,130
121601347,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,5,5,60,60
121600231,1,MANHATTAN,$0.00,$160.00,0,0,0,0,20,20,210,210
220210536,1,BRONX,"$40,625.00",$315.40,0,0,0,0,3,3,26,26
520133338,1,STATEN ISLAND,"$16,108.00",$191.80,0,0,0,0,2,2,24,24
520129352,1,STATEN ISLAND,$0.00,$621.04,0,2372,0,0,0,3,0,25
240024415,1,BRONX,$0.00,$230.00,0,0,0,0,6,6,60,60
140073523,1,MANHATTAN,$0.00,$170.00,0,0,0,0,4,4,56,56
121600767,1,MANHATTAN,"$85,000.00","$1,089.00",0,0,0,0,15,15,115,115
121600446,1,MANHATTAN,"$10,000.00",$316.50,0,0,0,0,28,28,342,342
121601221,1,MANHATTAN,"$24,000.00",$460.70,0,0,0,0,39,39,432,432
140073417,1,MANHATTAN,$0.00,$180.00,0,0,0,0,7,7,96,96
121601356,1,MANHATTAN,"$10,000.00",$476.50,0,0,0,0,5,5,60,60
